Verein	ZVR-Zahl	Bezirk	Foerderung_ref	Typ	Jahr	Betrag_EUR	Quelle	Fördergegenstand — Anmerkungen	Programm	Kurzname	Verein_key
punctum collective, Verein zur Förderung zeitgenössischer Musik und transmedialer Kunstformate	1310873198	5	MA7	Beschluss	2024	8000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelförderung (Projekte) Musik	Veranstaltungsreihe		punctum collective, verein zur förderung zeitgenössischer musik und transmedialer kunstformate
Rantasa + Rantasa GmbH	GmbH	8	MA7	Beschluss	2024	25000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderung (Projekte) Musik – Venue: Rhiz	Künstlerisches Programm rhiz	rhiz	rantasa + rantasa gmbh
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und\nKlang-Kunst	460617721	8	MA7	Beschluss	2023	20000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Einzelförderung (Projekte) Musik	CLUB RADIOKOJE | SONIC CELL		czirp czirp - experimental and sonic arts. verein zur förderung experimenteller und\nklang-kunst
Kulturverein WERK	140201457	9	MA7	Beschluss	2023	15000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Einzelförderung (Projekte) Musik	Konzerte im 1. Halbjahr 2023 | Konzerte im 2. Halbjahr 2023.		kulturverein werk
Reconsil - Verein zur Förderung zeitgenössischer Musik	90914757	5	MA7	Beschluss	2022	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Orchester & Ensemble — Venue: REAKTOR	Konzertzyklus 3 Konzerte im REAKTOR		reconsil - verein zur förderung zeitgenössischer musik
Antunes de Menezes Melissa	[Einzelperson]	[nicht dokumentiert]	MA7	Beschluss	2023	6000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: TENDER MATTER Konzertreihe. Einzelperson	TENDER MATTER Konzertreihe		antunes de menezes melissa
Antunes de Menezes Melissa	[Einzelperson]	[nicht dokumentiert]	BMKöS	Beschluss	2024	6000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Musikförderung Jahresprogramme			antunes de menezes melissa
Antunes de Menezes Melissa	[Einzelperson]	[nicht dokumentiert]	BMKöS	Beschluss	2023	5000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Musikförderung Projekte	Tender Matter Presents		antunes de menezes melissa
A M B I T U S – Gruppe für neue Musik	228515470	17	MA7	Beschluss	2022	4000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Konzerte mit zeitgenössischer Musik. Ensemble			a m b i t u s – gruppe für neue musik
A M B I T U S – Gruppe für neue Musik	228515470	17	BMKöS	Beschluss	2024	13500.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Musikförderung Jahresprogramme			a m b i t u s – gruppe für neue musik
A M B I T U S – Gruppe für neue Musik	228515470	17	BMKöS	Beschluss	2022	13500.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Musikförderung Projekte			a m b i t u s – gruppe für neue musik
A M B I T U S – Gruppe für neue Musik	228515470	17	BMKöS	Beschluss	2023	13500.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Musikförderung Jahresprogramme			a m b i t u s – gruppe für neue musik
A M B I T U S – Gruppe für neue Musik	228515470	17	BMKöS	Beschluss	2026	13500.0	Transparenzportal IFG 2026	"ausbezahlt: Musik:Förderung von Vereinen, vergleichbaren Einrichtungen und Einzelpersonen 
"			a m b i t u s – gruppe für neue musik
A M B I T U S – Gruppe für neue Musik	228515470	17	MA7	Beschluss	2026	2000.0	Transparenzportal IFG 2025	"ausbezahlt: Förderung von Einzelvorhaben und Jahrestätigkeiten im Bereich der Musik
"			a m b i t u s – gruppe für neue musik
Between Feathers	1931401223	14	MA7	Beschluss	2022	6000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Halbjahresprogramm Herbst 2022. Ensemble			between feathers
Klang.Kunst.Etage - Verein für experimentelle Musik und Kunstprojekte	539978143	2	MA7	Beschluss	2022	20000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Orchester & Ensembles Musik	Vienna Improvisers Orchestra		klang.kunst.etage - verein für experimentelle musik und kunstprojekte
moment collective - Verein für experimentelle Musik, audio-visuelle und performative Kunst	839307922	14	MA7	Beschluss	2022	15000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Orchester & Ensembles Musik	Black Page Orchestra Konzerte		moment collective - verein für experimentelle musik, audio-visuelle und performative kunst
Platypus - Verein für Neue Musik	881787755	5	MA7	Beschluss	2022	18000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Gesamtförderung Orchester & Ensemble			platypus - verein für neue musik
Verein Künstlergruppe DYNAMO	332578538	2	MA7	Beschluss	2022	16000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelnförderung (Projekte) Musik — venue: FLUCC	Konzerttätigkeiten und Musikprogramm FLUC und FLUC_WANNE, 1. Halbjahr 2022		verein künstlergruppe dynamo
Verein Künstlergruppe DYNAMO	332578538	2	MA7	Beschluss	2022	12000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelnförderungen (Projekte) Bildende Kunst und Neue Medien — venue: FLUCC			verein künstlergruppe dynamo
Verein Künstlergruppe DYNAMO	332578538	2	MA7	Beschluss	2022	60000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Gesamtförderungen (Jahrestätigkeit) Stadtteilkultur und Interkulturalität — venue: FLUCC			verein künstlergruppe dynamo
Verein Künstlergruppe DYNAMO	332578538	2	MA7	Beschluss	2023	12000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Einzelnförderungen (Projekte) Bildende Kunst und Neue Medien — venue: FLUCC			verein künstlergruppe dynamo
Verein Künstlergruppe DYNAMO	332578538	2	MA7	Beschluss	2023	155000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Gesamtförderungen (Jahrestätigkeit) Kulturinitiativen — venue: FLUCC			verein künstlergruppe dynamo
Verein Künstlergruppe DYNAMO	332578538	2	MA7	Beschluss	2022	30490.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Jahresprogramm Medienkunst — venue FLUCC			verein künstlergruppe dynamo
Verein zur Förderung der Neuen Musik im Kirchenraum	812262237	15	MA7	Beschluss	2022	6500.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelnförderungen (Projekte) Musik	Neue Musik in St. Ruprecht		verein zur förderung der neuen musik im kirchenraum
Verein zur Förderung von Subkultur	815077150	12	MA7	Beschluss	2022	8000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelnförderungen (Projekte) Musik	Salon skug		verein zur förderung von subkultur
Verein zur Förderung von Subkultur	815077150	12	MA7	Beschluss	2022	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Gesamtförderungen (Jahrestätigkeit) Wissenschaft, Museen — Ausnahme			verein zur förderung von subkultur
Verein zur Förderung von Subkultur	815077150	12	MA7	Beschluss	2025	8000.0	Transparenzportal IFG 2025	ausbezahlt: Förderung von Einzelnvorhaben im Bereich der Musik			verein zur förderung von subkultur
Verein zur Förderung von Subkultur	815077150	12	MA7	Beschluss	2025	8000.0	Transparenzportal IFG 2025	ausbezahlt: Förderung von Einzelnvorhaben im Bereich der Musik			verein zur förderung von subkultur
Central Garden	17183473	2	MA7	Beschluss	2022	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Festivals Musik	Kanal #41.2		central garden
Between Feathers	1931401223	14	MA7	Beschluss	2023	10000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Orchester & Ensembles Musik			between feathers
ensemble N - Verein und Ensemble für zeitgenössische Musik	1612878478	10	MA7	Beschluss	2023	3500.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Orchester & Ensembles Musik	Palimpsests		ensemble n - verein und ensemble für zeitgenössische musik
ensemble N - Verein und Ensemble für zeitgenössische Musik	1612878478	10	MA7	Beschluss	2023	4000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Orchester & Ensembles Musik			ensemble n - verein und ensemble für zeitgenössische musik
Verein für vegetabile Klangpraxis	913810634	16	MA7	Beschluss	2023	10000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Einzelnförderungen (Projekte) Musik	25 Jahre Jubiläumskonzert		verein für vegetabile klangpraxis
Verein für vegetabile Klangpraxis	913810634	16	MA7	Beschluss	2023	6000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Einzelnförderungen (Projekte) Musik	25 Jahre Jubiläumskonzert		verein für vegetabile klangpraxis
Verein für vegetabile Klangpraxis	913810634	16	MA7	Beschluss	2025	8000.0	Transparenzportal IFG 2025	ausbezahlt: Förderung von Einzelnvorhaben im Bereich der Musik	25 Jahre Jubiläumskonzert		verein für vegetabile klangpraxis
Verein zur Förderung der Neuen Musik im Kirchenraum	812262237	15	MA7	Beschluss	2023	6500.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Einzelnförderungen (Projekte) Musik	Neue Musik in St. Ruprecht		verein zur förderung der neuen musik im kirchenraum
Verein zur Förderung von Subkultur	815077150	12	MA7	Beschluss	2023	8000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Einzelnförderungen (Projekte) Musik	Salon skug		verein zur förderung von subkultur
Verein zur Förderung von Subkultur	815077150	12	MA7	Beschluss	2023	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Einzelnförderungen (Projekte) Wissenschaft, Museen — Ausnahme	s		verein zur förderung von subkultur
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	874404447	2	MA7	Beschluss	2022	16000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelnförderungen (Projekte) Wissenschaft, Museen — Ausnahme	Das Hybrid Audio Diffusion System (HADS) als Werkzeug zur Entwicklung des Virtuellen Wiener Akusmonium		the acousmatic project - verein zur förderung akusmatischer musik
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	874404447	2	MA7	Beschluss	2022	22000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelnförderungen (Projekte) Musik	Projektreihe im Rahmen von Acousmatic Project		the acousmatic project - verein zur förderung akusmatischer musik
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	874404447	2	MA7	Beschluss	2023	22000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Einzelnförderungen (Projekte) Musik	Young Lion*ess of Acousmatic Music | Projektreihe und Festival Acousmatic Projekt. Einzelförderung Projekte		the acousmatic project - verein zur förderung akusmatischer musik
tonWerk - Forum für Neue Musik	708944665	14	MA7	Beschluss	2023	8000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Einzelnförderungen (Projekte) Musik	Konzertreihe Wiener Hausmusik		tonwerk - forum für neue musik
tonWerk - Forum für Neue Musik	708944665	14	MA7	Beschluss	2022	10000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Einzelnförderungen (Projekte)  Stadtteilkultur und Interkulturalität	Wiener Hausmusik		tonwerk - forum für neue musik
Verein für elektroakustische Musik; Kurztitel VELAK	229137709	5	MA7	Beschluss	2022	10000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Velak Gala Konzertreihe. Einzelförderung Projekte	VELAK Gala		verein für elektroakustische musik kurztitel velak
Rantasa + Rantasa GmbH	GmbH	8	MA7	Beschluss	2023	25000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Einzelnförderungen (Projekte) Musik — Venue: Rhiz	Veranstaltungsreihe rhiz 1 | Veranstaltungsreihe rhiz 2	rhiz	rantasa + rantasa gmbh
RRRIOT - Verein zur Förderung und Vermittlung feministischen Kulturschaffens	176821539	10	MA7	Beschluss	2023	15000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Einzelnförderungen (Projekte) Musik	Dishes		rrriot - verein zur förderung und vermittlung feministischen kulturschaffens
SAMA Kollektiv - Kunst & Kulturverein	1944532794	19	MA7	Beschluss	2023	4000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Einzelnförderungen (Projekte) Musik	sama recordings pres. s c h w e b e n		sama kollektiv - kunst & kulturverein
Kunstverein das weisse haus	766278099	1	MA7	Beschluss	2024	2500.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelförderungen (Projekte) Musik	Reverberate		kunstverein das weisse haus
Between Feathers	1931401223	14	MA7	Beschluss	2024	3000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelförderungen (Projekte) Musik	Vol. 3 Finding a new voice		between feathers
Central Garden	17183473	2	MA7	Beschluss	2024	4000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelförderungen (Projekte) Musik	Kanal 41.3		central garden
Joanna Coleman (KEINPONNY)	[Einzelperson]	[nicht dokumentiert]	MA7	Beschluss	2024	2000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Musik	KEINPONNY		joanna coleman (keinponny)
Jazz & Musicclub Porgy & Bess	79072322	4	MA7	Beschluss	2024	170000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Gesamtförderungen (Jahrestätigkeit) — Mehrjährige Gesamtförderung 2024-2025		Porgy & Bess	jazz & musicclub porgy & bess
minciospace Betriebs GmbH	GmbH	15	MA7	Beschluss	2024	100000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Gesamtförderungen (Jahrestätigkeit) Musik		Minciospace	minciospace betriebs gmbh
minciospace Betriebs GmbH	GmbH	15	MA7	Beschluss	2025	100000.0	Transparenzportal IFG 2025	ausbezahlt: Förderungen von Einzelnvorhaben im Bereich der Musik		Minciospace	minciospace betriebs gmbh
minciospace Betriebs GmbH	GmbH	15	MA7	Beschluss	2026	100000.0	Transparenzportal IFG 2026	ausbezahlt: Förderungen von Einzelnvorhaben im Bereich der Musik		Minciospace	minciospace betriebs gmbh
minciospace Betriebs GmbH	GmbH	15	BMKöS_BMWKMS	Beschluss	2026	10000.0	Transparenzportal IFG 2026	ausbezahlt: Musik Förderung von Vereinen		Minciospace	minciospace betriebs gmbh
minciospace Betriebs GmbH	GmbH	15	BMKöS_BMWKMS	Beschluss	2025	8000.0	Transparenzportal IFG 2025	ausbezahlt: Musik Förderung von Vereinen		Minciospace	minciospace betriebs gmbh
Hjalmar Al-Serori	[Einzelperson]	5	MA7	Beschluss	2026	7000.0	Transparenzportal IFG 2026	ausbezahlt: Einzelnförderungen (Projekte) Musik 			hjalmar al-serori
Hjalmar Al-Serori	[Einzelperson]	5	MA7	Beschluss	2024	12000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelnförderungen (Projekte) Musik – Venue:Celeste	Celeste Programm		hjalmar al-serori
PHACE - Ensemble für neue Musik	366181964	15	MA7	Beschluss	2023	130000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Gesamtförderung Orchester & Ensemble			phace - ensemble für neue musik
PHACE - Ensemble für neue Musik	366181964	15	MA7	Beschluss	2022	75000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Gesamtförderung Orchester & Ensemble			phace - ensemble für neue musik
Platypus - Verein für Neue Musik	881787755	5	MA7	Beschluss	2023	25000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Gesamtförderung Orchester & Ensemble			platypus - verein für neue musik
Reconsil - Verein zur Förderung zeitgenössischer Musik	90914757	5	MA7	Beschluss	2023	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Orchester & Ensemble — Venue: REAKTOR	Konzertzyklus im REAKTOR		reconsil - verein zur förderung zeitgenössischer musik
Between Feathers	1931401223	14	MA7	Beschluss	2024	11000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Gesamtförderung (Jahrestätigkeit) Musik			between feathers
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und\nKlang-Kunst	460617721	8	MA7	Beschluss	2024	20000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Gesamtförderung (Jahrestätigkeit) Musik			czirp czirp - experimental and sonic arts. verein zur förderung experimenteller und\nklang-kunst
echoraum Vereinigung zur Förderung der Kulturkommunikation	884318065	15	MA7	Beschluss	2024	110000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Gesamtförderung (Jahrestätigkeit) Musik		echoraum	echoraum vereinigung zur förderung der kulturkommunikation
SAMA Kollektiv - Kunst & Kulturverein	1944532794	19	MA7	Beschluss	2022	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelnförderungen (Projekte) Musik	sama recordings pres. s c h w e b e n 		sama kollektiv - kunst & kulturverein
"""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel:Ventil"	462456728	18	MA7	Beschluss	2022	8000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelnförderungen (Projekte) Musik	Konzertveranstaltungen 2. Halbjahr 2022.	Ventil Records	"""ventil"" - verein zur freisetzung klanglicher innovation und dynamik kurztitel: ventil"
Verein für elektroakustische Musik; Kurztitel VELAK	229137709	5	MA7	Beschluss	2022	4500.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelförderung (Projekte) Musik	VELAK Gala		verein für elektroakustische musik kurztitel velak
Verein für elektroakustische Musik; Kurztitel VELAK	229137709	5	MA7	Beschluss	2023	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Einzelförderung (Projekte) Musik	VELAK Gala Konzertreihe		verein für elektroakustische musik kurztitel velak
Kulturverein WERK	140201457	9	MA7	Beschluss	2022	26000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelnförderungen (Projekte) Musik	Konzerte im 1. Halbjahr 2022 | Konzerte im 2. Halbjahr 2022.		kulturverein werk
Kulturverein WERK	140201457	9	MA7	Beschluss	2022	21000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelnförderungen (Projekte) Stadtteilkultur und Interkulturalität	das WERK Wien		kulturverein werk
Little Rosies Improvisationsgruppe – Verein für musikalische Improvisation und Zeitgeist	1773953936	13	MA7	Beschluss	2022	14000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Gesamtförderungen (Jahrestätigkeit) Musik	EXPLORATIONS Part II		little rosies improvisationsgruppe – verein für musikalische improvisation und zeitgeist
PARKEN, Verein zur Förderung experimenteller Musik im öffentlichem Raum	1294222714	16	MA7	Beschluss	2022	10000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelförderungen (Projekte) Musik	Parken, Or Live in the Park.	PARKEN	parken, verein zur förderung experimenteller musik im öffentlichem raum
rhizome audioart association - Verein zur Verbreitung und Förderung zeitgenössischer Ton-, Klang-, Musik-, Geräusch- und Audiokunst sowie von\naudiovisuellen, medienkünstlerischen, bildenden, literarischen und anderen\nkünstlerischen Ausdrucksformen, die sich mit Klang und Musik auseinandersetzen	317418575	13	MA7	Beschluss	2022	16000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelförderungen (Projekte) Musik	Welcome to the rhizosphere		rhizome audioart association - verein zur verbreitung und förderung\nzeitgenössischer ton-, klang-, musik-, geräusch- und audiokunst sowie von\naudiovisuellen, medienkünstlerischen, bildenden, literarischen und anderen\nkünstlerischen ausdrucksformen, die sich mit klang und musik auseinandersetzen
RRRIOT - Verein zur Förderung und Vermittlung feministischen Kulturschaffens	176821539	10	MA7	Beschluss	2022	20000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelförderungen (Projekte) Musik	DISHES RRR		rrriot - verein zur förderung und vermittlung feministischen kulturschaffens
andother stage - Verein für künstlerische Forschung und transdiszplinäre Kunst	1140457008	5	MA7	Beschluss	2022	20000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelförderungen (Projekte) Musik	We The People		andother stage - verein für künstlerische forschung und transdiszplinäre kunst
Between Feathers	1931401223	14	MA7	Beschluss	2022	4000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelnförderungen (Projekte) Musik	Alienation	between feathers	between feathers
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und\nKlang-Kunst	460617721	8	MA7	Beschluss	2022	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelnförderungen (Projekte) Musik	CLUB RADIOKOJE		czirp czirp - experimental and sonic arts. verein zur förderung experimenteller und\nklang-kunst
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und\nKlang-Kunst	460617721	8	MA7	Beschluss	2022	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelnförderungen (Projekte) Stadtteilkultur und Interkulturalität	SONIC CELL – Mobile Mehr-Kanal-Klangzelle zur Vermittlung elektronischer Musik		czirp czirp - experimental and sonic arts. verein zur förderung experimenteller und\nklang-kunst
Alexander Eberhard	[Einzelperson]	3	MA7	Beschluss	2022	7500.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelnförderungen (Projekte) Musik			alexander eberhard
IMPROPER WALLS – Kulturverein zur Förderung von Kunst und soziokulturellen Initiativen	97711962	15	MA7	Beschluss	2022	3000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelförderungen (Projekte) Musik	IMPROPER SESSIONS	improper walls	improper walls – kulturverein zur förderung von kunst und soziokulturellen initiativen
IMPROPER WALLS – Kulturverein zur Förderung von Kunst und soziokulturellen Initiativen	97711962	15	MA7	Beschluss	2022	20000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelförderungen (Projekte) Musik Stadtteilkultur und Interkulturalität		improper walls	improper walls – kulturverein zur förderung von kunst und soziokulturellen initiativen
IMPROPER WALLS – Kulturverein zur Förderung von Kunst und soziokulturellen Initiativen	97711962	15	MA7	Beschluss	2023	22000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Gesamtförderungen (Jahrestätigkeit) Kulturinitiativen		improper walls	improper walls – kulturverein zur förderung von kunst und soziokulturellen initiativen
IMPROPER WALLS – Kulturverein zur Förderung von Kunst und soziokulturellen Initiativen	97711962	15	MA7	Beschluss	2024	22000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Gesamtförderungen (Jahrestätigkeit) Kulturinitiativen		improper walls	improper walls – kulturverein zur förderung von kunst und soziokulturellen initiativen
IMPROPER WALLS – Kulturverein zur Förderung von Kunst und soziokulturellen Initiativen	97711962	15	MA7	Beschluss	2025	27000.0	Transparenzportal IFG 2025	ausbezahlt: Förderung von Einzelnvorhaben und Jahrestätigkeiten im Bereich der Kulturinitiativen		improper walls	improper walls – kulturverein zur förderung von kunst und soziokulturellen initiativen
Vincent Pongracz	[Einzelperson]	[nicht dokumentiert]	MA7	Beschluss	2022	5000.0	Kunst-, Kultur-, und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Einzelförderungen (Projekte) Musik	Synesthetic Wednesday		vincent pongracz
Vincent Pongracz	[Einzelperson]	[nicht dokumentiert]	MA7	Beschluss	2023	4000.0	Kunst-, Kultur-, und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Einzelförderungen (Projekte) Musik	Synesthetic Wednesday		vincent pongracz
Vincent Pongracz	[Einzelperson]	[nicht dokumentiert]	BMKöS_BMWKMS	Beschluss	2023	1000.0	Kunst-, Kultur-, und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Musikförderung Projekte			vincent pongracz
Vincent Pongracz	[Einzelperson]	[nicht dokumentiert]	MA7	Beschluss	2024	8000.0	Kunst-, Kultur-, und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Einzelförderungen (Projekte) Musik	Synesthetic Wednesday		vincent pongracz
Vincent Pongracz	[Einzelperson]	[nicht dokumentiert]	BMKöS_BMWKMS	Beschluss	2024	5000.0	Kunst-, Kultur-, und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Musikförderung Projekte			vincent pongracz
STRUMA+IODINE - Verein zur Erweiterung musikalischer Erfahrungsräume	1954454117	9	BMKöS_BMWKMS	Beschluss	2022	3300.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Musikförderung Jahresprogramme 		Struma+Iodine	struma+iodine - verein zur erweiterung musikalischer erfahrungsräume
echoraum Vereinigung zur Förderung der Kulturkommunikation	884318065	15	BMKöS_BMWKMS	Beschluss	2022	10400.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Musikförderung Jahresprogramme 			echoraum vereinigung zur förderung der kulturkommunikation
Studio Dan - Verein für Neue Musik	408034688	20	BMKöS_BMWKMS	Beschluss	2022	2800.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Musikförderung Projekte	Kompositionsförderung	Studio Dan	studio dan - verein für neue musik
Studio Dan - Verein für Neue Musik	408034688	20	BMKöS_BMWKMS	Beschluss	2022	40000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Musikförderung Jahresprogramme		Studio Dan	studio dan - verein für neue musik
small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen	503262449	16	BMKöS_BMWKMS	Beschluss	2022	5400.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Musikförderung Jahresprogramme		Smallforms	small forms - verein zur förderung und verbreitung von zeitgenössischen musikformen
Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation	1121875739	5	BMKöS_BMWKMS	Beschluss	2022	15000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Musikförderung Jahresprogramme	Akusmonautik	Free Music Forum	kulturverein free music forum mit dem zusatz forum für free jazz & freie improvisation
SUENA - Verein zur Förderung und Verbreitung neuer Musik	1920809871	20	BMKöS_BMWKMS	Beschluss	2022	4900.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Festspiele, Großveranstaltungen Musik und darstellende Kunst		SUENA	suena - verein zur förderung und verbreitung neuer musik
