Verein	ZVR-Zahl	Bezirk	Foerderung_ref	Typ	Jahr	Betrag_EUR	Quelle	Anmerkungen	Programm	Kurzname	Verein_key
Verein Kulturzentrum FLUCC	1842290121	2	MA7	Beschluss	2023	140000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Vienna Club Commission. Fördergegenstand: FLUCC - Center for Arts and Communities		FLUCC	verein kulturzentrum flucc
Wien Modern, Verein für neue Musik	678661440	3	MA7	Beschluss	2023	250000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Arnold Schönberg 150		Wien Modern	wien modern, verein für neue musik
Wien Modern, Verein für neue Musik	678661440	3	MA7	Beschluss	2023	40000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Erhöhung Gesamtförderung 2023		Wien Modern	wien modern, verein für neue musik
Wien Modern, Verein für neue Musik	678661440	3	MA7	Beschluss	2023	1000000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Mehrjährige Gesamtförderung 2021-2023 (2023)		Wien Modern	wien modern, verein für neue musik
SUENA - Verein zur Förderung und Verbreitung neuer Musik	1920809871	6	MA7	Beschluss	2023	8000.0	Förderbericht der Stadt Wien 2023	ausbezahlt		SUENA	suena - verein zur förderung und verbreitung neuer musik
Verein für elektroakustische Musik, Kurztitel VELAK	229137709	5	MA7	Beschluss	2023	5000.0	Förderbericht der Stadt Wien 2023	ausbezahlt. Velak Gala Konzertreihe. Suena Festival 2024			verein für elektroakustische musik, kurztitel velak
Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation	1121875739	5	MA7	Beschluss	2023	30000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Gesamtförderung 10.000 + Erhöhung 10.000 + zweiter Eintrag 10.000. Serious Serious Showcase Series		Free Music Forum	kulturverein free music forum mit dem zusatz forum für free jazz & freie improvisation
Studio Dan - Verein für Neue Musik	408034688	20	MA7	Beschluss	2023	70000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Gesamtförderung 50.000 + Erhöhung 20.000. Jahresendzeitschokoladenhohlkörper		Studio Dan	studio dan - verein für neue musik
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	874404447	2	MA7	Beschluss	2023	22000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Projektreihe 17.000 + Young Lion*ess 5.000. Konzerte mit zeitgenössischer Musik			the acousmatic project - verein zur förderung akusmatischer musik
small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen	503262449	16	MA7	Beschluss	2023	15000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Gesamtförderung. Black Page Orchestra Konzerte		Smallforms	small forms - verein zur förderung und verbreitung von zeitgenössischen musikformen
Kunst- und Kulturverein Semmelweisklinik	1677067623	18	MA7	Beschluss	2025	24000.0	Transparenzportal IFG 2025	Kulturinitiativen		Semmelweisklinik	kunst- und kulturverein semmelweisklinik
Kunst- und Kulturverein Semmelweisklinik	1677067623	18	MA7	Beschluss	2025	10000.0	Transparenzportal IFG 2025	Förderung Musik		Semmelweisklinik	kunst- und kulturverein semmelweisklinik
Bestand - Verein zur Vermittlung und Förderung von Musik, Kunst und Kultur	1579908762	8	MA7	Beschluss	2026	13500.0	Transparenzportal IFG 2025	Förderung Einzelvorhaben/Jahrestätigkeiten Musik			bestand - verein zur vermittlung und förderung von musik, kunst und kultur
Kunst- und Kulturverein Semmelweisklinik	1677067623	18	Bezirkskultur	Beschluss	2025	11000.0	Transparenzportal IFG 2025	Bezirkskulturförderung		Semmelweisklinik	kunst- und kulturverein semmelweisklinik
Kulturverein WERK	140201457	9	Bezirkskultur	Beschluss	2025	3500.0	Transparenzportal IFG 2025	Bezirkskulturförderung			kulturverein werk
Bestand - Verein zur Vermittlung und Förderung von Musik, Kunst und Kultur	1579908762	8	MA7	Beschluss	2025	15000.0	Transparenzportal IFG 2025	Förderung Einzelvorhaben/Jahrestätigkeiten Musik			bestand - verein zur vermittlung und förderung von musik, kunst und kultur
FAM Kulturverein	1490968765	Klagenfurt	MA7	Beschluss	2025	27000.0	Transparenzportal IFG 2025	Kulturinitiativen			fam kulturverein
FAM Kulturverein	1490968765	Klagenfurt	MA7	Beschluss	2025	9000.0	Transparenzportal IFG 2025	Regionale Kulturinitiativen			fam kulturverein
FAM Kulturverein	1490968765	Klagenfurt	MA7	Beschluss	2026	27000.0	Transparenzportal IFG 2026	Kulturinitiativen			fam kulturverein
Central Garden	17183473	2	Bezirkskultur	Beschluss	2025	4000.0	Transparenzportal IFG 2025	Bezirkskulturförderung			central garden
Central Garden	17183473	2	MA7	Beschluss	2025	8000.0	Transparenzportal IFG 2025	Förderung Musik			central garden
Central Garden	17183473	2	MA7	Beschluss	2026	7000.0	Transparenzportal IFG 2026	Förderung Musik			central garden
Between Feathers	1931401223	14	MA7	Beschluss	2025	14000.0	Transparenzportal IFG 2025	Förderung Musik			between feathers
Between Feathers	1931401223	14	MA7	Beschluss	2025	13000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen			between feathers
Between Feathers	1931401223	14	MA7	Beschluss	2026	10000.0	Transparenzportal IFG 2026	Förderung Musik			between feathers
Between Feathers	1931401223	14	MA7	Beschluss	2026	30000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen			between feathers
MOOZAK - VEREIN FÜR EXPERIMENTELLE MUSIK	817982407	19	MA7	Beschluss	2025	5000.0	Transparenzportal IFG 2025	Förderung Musik		Moozak	moozak - verein für experimentelle musik
MOOZAK - VEREIN FÜR EXPERIMENTELLE MUSIK	817982407	19	MA7	Beschluss	2025	6000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen		Moozak	moozak - verein für experimentelle musik
Kunst- und Kulturverein Semmelweisklinik	1677067623	18	MA7	Beschluss	2026	20000.0	Transparenzportal IFG 2026	Kulturinitiativen		Semmelweisklinik	kunst- und kulturverein semmelweisklinik
Kunst- und Kulturverein Semmelweisklinik	1677067623	18	MA7	Beschluss	2026	4500.0	Transparenzportal IFG 2026	Förderung Musik		Semmelweisklinik	kunst- und kulturverein semmelweisklinik
Klangmanifeste - Verein für Klang-/Kunst-/Formen	771245267	5	MA7	Beschluss	2025	5000.0	Transparenzportal IFG 2025	Video- Medienkunst: Förderung von Vereinen			klangmanifeste - verein für klang-/kunst-/formen
FAM Kulturverein	1490968765	Klagenfurt	Bezirkskultur	Beschluss	2025	1500.0	Transparenzportal IFG 2025	Bezirkskulturförderung			fam kulturverein
Verein für experimentelle improvisierte Musik (VEIM)	[nicht dokumentiert]	4	MA7	Beschluss	2026	12000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen		Porgy & Bess	verein für experimentelle improvisierte musik (veim)
Verein für experimentelle improvisierte Musik (VEIM)	[nicht dokumentiert]	4	MA7	Beschluss	2026	15000.0	Transparenzportal IFG 2026	Förderung Musik		Porgy & Bess	verein für experimentelle improvisierte musik (veim)
Verein für experimentelle improvisierte Musik (VEIM)	[nicht dokumentiert]	4	MA7	Beschluss	2025	6000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen		Porgy & Bess	verein für experimentelle improvisierte musik (veim)
Verein für experimentelle improvisierte Musik (VEIM)	[nicht dokumentiert]	4	MA7	Beschluss	2025	15000.0	Transparenzportal IFG 2025	Förderung Musik		Porgy & Bess	verein für experimentelle improvisierte musik (veim)
Salam Oida - Verein zur Förderung von Vielfalt in Kunst und Kultur , kurz: Salam\nOida	1781236046	16	MA7	Beschluss	2026	25000.0	Transparenzportal IFG 2026	Kulturinitiativen		Salam Oida	salam oida - verein zur förderung von vielfalt in kunst und kultur , kurz: salam\noida
SISTERS - Verein für queer feministische Kunst und Kultur	914774238	15	MA7	Beschluss	2026	20000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen			sisters - verein für queer feministische kunst und kultur
SISTERS - Verein für queer feministische Kunst und Kultur	914774238	15	MA7	Beschluss	2026	100000.0	Transparenzportal IFG 2026	Förderung Musik			sisters - verein für queer feministische kunst und kultur
SISTERS - Verein für queer feministische Kunst und Kultur	914774238	15	MA7	Beschluss	2026	50000.0	Transparenzportal IFG 2026	Förderung freier Gruppen Darstellende Kunst			sisters - verein für queer feministische kunst und kultur
SISTERS - Verein für queer feministische Kunst und Kultur	914774238	15	BMKöS	Beschluss	2025	15000.0	Transparenzportal IFG 2025	"Förderung Festspiele und ähnlichen Saisonveranstaltungen Förderungen			
"			sisters - verein für queer feministische kunst und kultur
SISTERS - Verein für queer feministische Kunst und Kultur	914774238	15	MA7	Beschluss	2025	100000.0	Transparenzportal IFG 2025	Förderung Musik			sisters - verein für queer feministische kunst und kultur
SISTERS - Verein für queer feministische Kunst und Kultur	914774238	15	MA7	Beschluss	2025	40000.0	Transparenzportal IFG 2025	Förderung freier Gruppen Darstellende Kunst			sisters - verein für queer feministische kunst und kultur
SISTERS - Verein für queer feministische Kunst und Kultur	914774238	15	MA7	Beschluss	2025	12000.0	Transparenzportal IFG 2025	Darstellende Kunst: Förderung von Vereinen			sisters - verein für queer feministische kunst und kultur
Reconsil - Verein zur Förderung zeitgenössischer Musik	90914757	5	MA7	Beschluss	2026	6000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen			reconsil - verein zur förderung zeitgenössischer musik
Reconsil - Verein zur Förderung zeitgenössischer Musik	90914757	5	MA7	Beschluss	2026	4000.0	Transparenzportal IFG 2026	Förderung Musik			reconsil - verein zur förderung zeitgenössischer musik
Reconsil - Verein zur Förderung zeitgenössischer Musik	90914757	5	MA7	Beschluss	2025	6000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen			reconsil - verein zur förderung zeitgenössischer musik
Reconsil - Verein zur Förderung zeitgenössischer Musik	90914757	5	MA7	Beschluss	2025	5000.0	Transparenzportal IFG 2025	Förderung Musik			reconsil - verein zur förderung zeitgenössischer musik
Rantasa + Rantasa GmbH	GmbH	8	MA7	Beschluss	2026	50000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen. GmbH		rhiz	rantasa + rantasa gmbh
Rantasa + Rantasa GmbH	GmbH	8	MA7	Beschluss	2026	18500.0	Transparenzportal IFG 2026	Förderung Musik. GmbH		rhiz	rantasa + rantasa gmbh
Rantasa + Rantasa GmbH	GmbH	8	MA7	Beschluss	2025	25000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen. GmbH		rhiz	rantasa + rantasa gmbh
Rantasa + Rantasa GmbH	GmbH	8	MA7	Beschluss	2025	20000.0	Transparenzportal IFG 2025	Förderung Musik. GmbH		rhiz	rantasa + rantasa gmbh
RRRIOT - Verein zur Förderung und Vermittlung feministischen Kulturschaffens	176821539	10	MA7	Beschluss	2025	42000.0	Transparenzportal IFG 2025	Förderung freier Gruppen Darstellende Kunst			rrriot - verein zur förderung und vermittlung feministischen kulturschaffens
RRRIOT - Verein zur Förderung und Vermittlung feministischen Kulturschaffens	176821539	10	MA7	Beschluss	2025	10000.0	Transparenzportal IFG 2025	Darstellende Kunst: Förderung von Vereinen			rrriot - verein zur förderung und vermittlung feministischen kulturschaffens
RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE	1525847130	9	MA7	Beschluss	2026	7000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen			resonances+transitions - verein zur förderung und verbreitung innovativer klänge
RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE	1525847130	9	MA7	Beschluss	2026	27500.0	Transparenzportal IFG 2026	Förderung Musik			resonances+transitions - verein zur förderung und verbreitung innovativer klänge
RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE	1525847130	9	MA7	Beschluss	2025	3500.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen			resonances+transitions - verein zur förderung und verbreitung innovativer klänge
RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE	1525847130	9	MA7	Beschluss	2025	30000.0	Transparenzportal IFG 2025	Förderung Musik			resonances+transitions - verein zur förderung und verbreitung innovativer klänge
PHACE - Ensemble für neue Musik	366181964	15	MA7	Beschluss	2026	100000.0	Transparenzportal IFG 2026	Förderung von Einzelnvorhaben und Jahrestätigkeiten im Bereich der Musik			phace - ensemble für neue musik
PHACE - Ensemble für neue Musik	366181964	15	BMKöS	Beschluss	2026	100000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen, vergleichbaren Einrichtungen und Einzelpersonen			phace - ensemble für neue musik
PHACE - Ensemble für neue Musik	366181964	15	BMKöS	Beschluss	2025	100000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen, vergleichbaren Einrichtungen und Einzelpersonen			phace - ensemble für neue musik
PHACE - Ensemble für neue Musik	366181964	15	MA7	Beschluss	2025	130000.0	Transparenzportal IFG 2026	Förderung von Einzelnvorhaben und Jahrestätigkeiten im Bereich der Musik			phace - ensemble für neue musik
On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft	1742094788	3	MA7	Beschluss	2026	7000.0	Transparenzportal IFG 2026	Förderung Musik		On the Couch	on the couch - zur förderung von kunst und kultur in der gesellschaft
On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft	1742094788	3	MA7	Beschluss	2025	5000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen		On the Couch	on the couch - zur förderung von kunst und kultur in der gesellschaft
On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft	1742094788	3	MA7	Beschluss	2025	7000.0	Transparenzportal IFG 2025	Förderung Musik		On the Couch	on the couch - zur förderung von kunst und kultur in der gesellschaft
On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft	1742094788	3	Bezirkskultur	Beschluss	2025	3000.0	Transparenzportal IFG 2025	Bezirkskulturförderung		On the Couch	on the couch - zur förderung von kunst und kultur in der gesellschaft
MOOZAK - VEREIN FÜR EXPERIMENTELLE MUSIK	817982407	19	MA7	Beschluss	2026	6000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen		Moozak	moozak - verein für experimentelle musik
MOOZAK - VEREIN FÜR EXPERIMENTELLE MUSIK	817982407	19	MA7	Beschluss	2026	5000.0	Transparenzportal IFG 2026	Förderung Musik		Moozak	moozak - verein für experimentelle musik
Verein zur Erweiterung des kulturellen und künstlerischen Spektrums (VEKKS)	743276021	15	MA7	Beschluss	2025	18000.0	Transparenzportal IFG 2025	Förderung Musik		Vekks	verein zur erweiterung des kulturellen und künstlerischen spektrums (vekks)
Verein zur Erweiterung des kulturellen und künstlerischen Spektrums (VEKKS)	743276021	15	MA7	Beschluss	2025	8000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen		Vekks	verein zur erweiterung des kulturellen und künstlerischen spektrums (vekks)
Verein zur Erweiterung des kulturellen und künstlerischen Spektrums (VEKKS)	743276021	15	MA7	Beschluss	2026	18000.0	Transparenzportal IFG 2026	Förderung Musik		Vekks	verein zur erweiterung des kulturellen und künstlerischen spektrums (vekks)
Verein zur Erweiterung des kulturellen und künstlerischen Spektrums (VEKKS)	743276021	15	MA7	Beschluss	2026	16000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen		Vekks	verein zur erweiterung des kulturellen und künstlerischen spektrums (vekks)
"


""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel:\nVenti"	462456728	18	MA7	Beschluss	2025	13000.0	Transparenzportal IFG 2025	Förderung Musik		Ventil Records	"


""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel:\nVenti"
"


""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel:\nVenti"	462456728	18	MA7	Beschluss	2025	8000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen		Ventil Records	"


""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel:\nVenti"
Verein Kulturzentrum FLUCC	1842290121	2	MA7	Beschluss	2025	110000.0	Transparenzportal IFG 2025	Kulturinitiativen		FLUCC	verein kulturzentrum flucc
Verein Kulturzentrum FLUCC	1842290121	2	MA7	Beschluss	2025	30000.0	Transparenzportal IFG 2025	Video- Medienkunst: Förderung von Vereinen		FLUCC	verein kulturzentrum flucc
Verein für elektroakustische Musik Kurztitel VELAK	229137709	5	MA7	Beschluss	2025	6000.0	Transparenzportal IFG 2025	Förderung Musik			verein für elektroakustische musik kurztitel velak
Verein für elektroakustische Musik Kurztitel VELAK	229137709	5	MA7	Beschluss	2025	13500.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen			verein für elektroakustische musik kurztitel velak
Verein für elektroakustische Musik Kurztitel VELAK	229137709	5	MA7	Beschluss	2026	5000.0	Transparenzportal IFG 2026	Förderung Musik			verein für elektroakustische musik kurztitel velak
Verein für elektroakustische Musik Kurztitel VELAK	229137709	5	MA7	Beschluss	2026	27000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen			verein für elektroakustische musik kurztitel velak
Verein zur Förderung der Neuen Musik im Kirchenraum	812262237	15	MA7	Beschluss	2025	10500.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen			verein zur förderung der neuen musik im kirchenraum
Verein zur Förderung der Neuen Musik im Kirchenraum	812262237	15	MA7	Beschluss	2026	7500.0	Transparenzportal IFG 2026	Förderung Musik			verein zur förderung der neuen musik im kirchenraum
Verein zur Förderung der Neuen Musik im Kirchenraum	812262237	15	MA7	Beschluss	2026	21000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen			verein zur förderung der neuen musik im kirchenraum
"""Vienna.ACTS"", Verein zur Förderung von Kunst"""	130944845	7	MA7	Beschluss	2025	45000.0	Transparenzportal IFG 2025	Kulturinitiativen			"""vienna.acts"", verein zur förderung von kunst"
"""Vienna.ACTS"", Verein zur Förderung von Kunst"""	130944845	7	MA7	Beschluss	2025	10000.0	Transparenzportal IFG 2025	Förderung Musik			"""vienna.acts"", verein zur förderung von kunst"
"""Vienna.ACTS"", Verein zur Förderung von Kunst"""	130944845	7	BMKöS	Beschluss	2025	5000.0	Transparenzportal IFG 2025	"Förderung Festspiele und ähnlichen Saisonveranstaltungen Förderungen			
"			"""vienna.acts"", verein zur förderung von kunst"
"""Vienna.ACTS"", Verein zur Förderung von Kunst"""	130944845	7	MA7	Beschluss	2025	56000.0	Transparenzportal IFG 2025	Regionale Kulturinitiativen			"""vienna.acts"", verein zur förderung von kunst"
"""Vienna.ACTS"", Verein zur Förderung von Kunst"""	130944845	7	MA7	Beschluss	2026	40000.0	Transparenzportal IFG 2026	Kulturinitiativen			"""vienna.acts"", verein zur förderung von kunst"
XOK - Interessensgemeinschaft der experimentellen Musik- und Klangkunstszene\nWiens	1792507501	2	MA7	Beschluss	2026	12000.0	Transparenzportal IFG 2026	Förderung Musik		XOK	xok - interessensgemeinschaft der experimentellen musik- und klangkunstszene\nwiens
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und\nKlang-Kunst	460617721	8	Bezirkskultur	Beschluss	2025	2900.0	Transparenzportal IFG 2025	Bezirkskulturförderung			czirp czirp - experimental and sonic arts. verein zur förderung experimenteller und\nklang-kunst
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und\nKlang-Kunst	460617721	8	MA7	Beschluss	2025	20000.0	Transparenzportal IFG 2025	Förderung Musik			czirp czirp - experimental and sonic arts. verein zur förderung experimenteller und\nklang-kunst
Verein Kulturzentrum FLUCC	1842290121	2	MA7	Beschluss	2026	160000.0	Transparenzportal IFG 2026	Kulturinitiativen		FLUCC	verein kulturzentrum flucc
Verein Kulturzentrum FLUCC	1842290121	2	MA7	Beschluss	2026	30000.0	Transparenzportal IFG 2026	Video- Medienkunst: Förderung von Vereinen		FLUCC	verein kulturzentrum flucc
Verein zur Förderung der Neuen Musik im Kirchenraum	812262237	15	Bezirkskultur	Beschluss	2025	3000.0	Transparenzportal IFG 2025	Bezirkskulturförderung			verein zur förderung der neuen musik im kirchenraum
Verein zur Förderung der Neuen Musik im Kirchenraum	812262237	15	MA7	Beschluss	2025	8000.0	Transparenzportal IFG 2025	Förderung Musik			verein zur förderung der neuen musik im kirchenraum
Jazz & Musicclub Porgy & Bess	79072322	4	MA7	Beschluss	2025	170000.0	Transparenzportal IFG 2025	Förderung Musik		Porgy & Bess	jazz & musicclub porgy & bess
Jazz & Musicclub Porgy & Bess	79072322	4	MA7	Beschluss	2026	85000.0	Transparenzportal IFG 2026	Förderung Musik		Porgy & Bess	jazz & musicclub porgy & bess
Wien Modern, Verein für neue Musik	678661440	3	BMKöS	Beschluss	2025	350000.0	Transparenzportal IFG 2025	"Förderung Festspiele und ähnlichen Saisonveranstaltungen Förderungen			
"		Wien Modern	wien modern, verein für neue musik
Wien Modern, Verein für neue Musik	678661440	3	MA7	Beschluss	2025	1050000.0	Transparenzportal IFG 2025	Förderung von Einzelvorhaben und Jahrestätigkeiten im Bereich der Musik		Wien Modern	wien modern, verein für neue musik
Wien Modern, Verein für neue Musik	678661440	3	MA7	Beschluss	2026	900000.0	Transparenzportal IFG 2026	Förderung Musik		Wien Modern	wien modern, verein für neue musik
snim - spontanes Netzwerk für improvisierte Musik	461480763	15	MA7	Beschluss	2025	4000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen			snim - spontanes netzwerk für improvisierte musik
snim - spontanes Netzwerk für improvisierte Musik	461480763	15	MA7	Beschluss	2026	4000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen			snim - spontanes netzwerk für improvisierte musik
sp ce. Verein zur Förderung von Kunst und Transdisziplinarität	752869720	19	MA7	Beschluss	2025	8000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen			sp ce. verein zur förderung von kunst und transdisziplinarität
sp ce. Verein zur Förderung von Kunst und Transdisziplinarität	752869720	19	MA7	Beschluss	2025	4000.0	Transparenzportal IFG 2025	Video- Medienkunst: Förderung von Vereinen			sp ce. verein zur förderung von kunst und transdisziplinarität
small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen	503262449	16	MA7	Beschluss	2025	15000.0	Transparenzportal IFG 2025	Förderung Musik		Smallforms	small forms - verein zur förderung und verbreitung von zeitgenössischen musikformen
small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen	503262449	16	MA7	Beschluss	2025	10000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen		Smallforms	small forms - verein zur förderung und verbreitung von zeitgenössischen musikformen
small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen	503262449	16	MA7	Beschluss	2026	15000.0	Transparenzportal IFG 2026	Förderung Musik		Smallforms	small forms - verein zur förderung und verbreitung von zeitgenössischen musikformen
small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen	503262449	16	MA7	Beschluss	2026	10000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen		Smallforms	small forms - verein zur förderung und verbreitung von zeitgenössischen musikformen
moment collective - Verein für experimentelle Musik, audio-visuelle und\nperformative Kuns	839307922	14	MA7	Beschluss	2026	25000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen			moment collective - verein für experimentelle musik, audio-visuelle und\nperformative kuns
moment collective - Verein für experimentelle Musik, audio-visuelle und\nperformative Kuns	839307922	14	MA7	Beschluss	2025	30000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen			moment collective - verein für experimentelle musik, audio-visuelle und\nperformative kuns
moment collective - Verein für experimentelle Musik, audio-visuelle und\nperformative Kuns	839307922	14	MA7	Beschluss	2025	27000.0	Transparenzportal IFG 2025	Förderung Musik			moment collective - verein für experimentelle musik, audio-visuelle und\nperformative kuns
punctum collective, Verein zur Förderung zeitgenössischer Musik und\ntransmedialer Kunstformate	1310873198	5	MA7	Beschluss	2026	7000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen			punctum collective, verein zur förderung zeitgenössischer musik und\ntransmedialer kunstformate
punctum collective, Verein zur Förderung zeitgenössischer Musik und\ntransmedialer Kunstformate	1310873198	5	MA7	Beschluss	2026	8000.0	Transparenzportal IFG 2026	Förderung Musik			punctum collective, verein zur förderung zeitgenössischer musik und\ntransmedialer kunstformate
punctum collective, Verein zur Förderung zeitgenössischer Musik und\ntransmedialer Kunstformate	1310873198	5	MA7	Beschluss	2025	9000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen			punctum collective, verein zur förderung zeitgenössischer musik und\ntransmedialer kunstformate
punctum collective, Verein zur Förderung zeitgenössischer Musik und\ntransmedialer Kunstformate	1310873198	5	Bezirkskultur	Beschluss	2025	1500.0	Transparenzportal IFG 2025	Bezirkskulturförderung			punctum collective, verein zur förderung zeitgenössischer musik und\ntransmedialer kunstformate
ensemble N - Verein und Ensemble für zeitgenössische Musik	[nicht dokumentiert]	[nicht dokumentiert]	MA7	Beschluss	2026	15000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen			ensemble n - verein und ensemble für zeitgenössische musik
ensemble N - Verein und Ensemble für zeitgenössische Musik	[nicht dokumentiert]	[nicht dokumentiert]	MA7	Beschluss	2026	8000.0	Transparenzportal IFG 2026	Förderung Musik			ensemble n - verein und ensemble für zeitgenössische musik
ensemble N - Verein und Ensemble für zeitgenössische Musik	[nicht dokumentiert]	[nicht dokumentiert]	MA7	Beschluss	2025	15000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen			ensemble n - verein und ensemble für zeitgenössische musik
ensemble N - Verein und Ensemble für zeitgenössische Musik	[nicht dokumentiert]	[nicht dokumentiert]	MA7	Beschluss	2025	8000.0	Transparenzportal IFG 2025	Förderung Musik			ensemble n - verein und ensemble für zeitgenössische musik
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und\nKlang-Kunst	460617721	8	MA7	Beschluss	2025	15000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen			czirp czirp - experimental and sonic arts. verein zur förderung experimenteller und\nklang-kunst
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und\nKlang-Kunst	460617721	8	MA7	Beschluss	2025	5000.0	Transparenzportal IFG 2025	Video- Medienkunst: Förderung von Vereinen			czirp czirp - experimental and sonic arts. verein zur förderung experimenteller und\nklang-kunst
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und\nKlang-Kunst	460617721	8	MA7	Beschluss	2026	10000.0	Transparenzportal IFG 2026	Förderung Musik			czirp czirp - experimental and sonic arts. verein zur förderung experimenteller und\nklang-kunst
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und\nKlang-Kunst	460617721	8	MA7	Beschluss	2026	30000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen			czirp czirp - experimental and sonic arts. verein zur förderung experimenteller und\nklang-kunst
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	874404447	2	MA7	Beschluss	2025	15000.0	Transparenzportal IFG 2025	Förderung Musik			the acousmatic project - verein zur förderung akusmatischer musik
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	874404447	2	MA7	Beschluss	2025	16000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen			the acousmatic project - verein zur förderung akusmatischer musik
id/l Agentur für Kunst und Kultur	214732532	18	MA7	Beschluss	2026	50000.0	Transparenzportal IFG 2026	Kulturinitiativen		id/l	id/l agentur für kunst und kultur
id/l Agentur für Kunst und Kultur	214732532	18	MA7	Beschluss	2026	23000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen		id/l	id/l agentur für kunst und kultur
id/l Agentur für Kunst und Kultur	214732532	18	Bezirkskultur	Beschluss	2025	5900.0	Transparenzportal IFG 2025	Bezirkskulturförderung		id/l	id/l agentur für kunst und kultur
